text,system_response,emotion
지금 사귀고 있는 애인과 헤어지면 다시는 누군가를 사랑하지 못할 것 같아서 슬퍼.,지금 애인과 헤어지면 다시는 누군가를 사랑하지 못할 것 같아서 슬픈 상태군요.,슬픔
자식들도 미련 없이 날 떠나보내 주었으면 좋겠어.,자식들도 미련 없이 날 떠나보내 주었으면 좋겠군요.,기쁨
응. 이번에 새로 테니스를 배우기 시작했어. 이 주 정도 되었는데 아주 재밌어.,테니스를 새로 배우기 시작하셨군요. 같이 운동하는 동료들도 있나요?,기쁨
내가 뭘 잘못했다고 내 탓이라 하는 거지? 교통사고 난 게 왜 내 탓이야.,잘못한 게 없는데 책임을 묻는 상황이 이해되지 않으셨겠어요. 이럴 때는 어떻게 하면 좋을까요?,분노
손해를 보기 싫으면 버티는 수밖에 없지. 참 골치 아프다.,주식이라는 게 한 치 앞을 모르니까 힘들겠어요.,기쁨
직장 다니는 일이 쉬운 일이 아니야. 갈수록 새로운 기술에 따른 업무를 배우는 것이 너무 두렵고 어려워.,새로운 환경에 적응해야 하는 현실이 어렵다고 느끼신 건가요?,슬픔
지난 일 년 동안 나름대로 꾸준히 운동한다고 했는데 운동 효과가 없는 것 같아 실망이야.,운동 효과가 없어서 실망하셨군요. 꾸준히 노력하면 좋은 결과가 있을 거예요.,슬픔
나 드디어 임신에 성공했어. 너무 기쁘고 만족스러워.,드디어 임신에 성공하셨군요.,기쁨
외국에는 키가 작아도 뽑는 곳이 있다고 해서 외국 항공사에 지원을 해봐야겠어.,외국 항공사 지원을 해서 꼭 승무원이 될 수 있기를  응원할게요.,슬픔
응. 별로 상관은 없는데 그래도 좀 자유로울 수 있다니 좋아.,오후에 무슨 일을 하실 예정이세요?,기쁨
다른 남자 만나는 걸 내가 뻔히 알고 있는데 아무 일 없다는 듯 행동하는 아내 때문에 기분이 더럽네.,아내분의 행동에 화가 나시는군요.,분노
사과하고 다시 잘 지내고 싶은데 그 사람이 내 사과를 받아줄지 잘 모르겠어.,남자친구가 나의 사과를 받아줄지 걱정하고 계시군요. 어떤 방식으로 사과하고 싶으신가요?,슬픔
원래 거짓말을 혐오하는 친구라 여태까지 한 적이 없었어. 내 친구가 잘못 본 것 아닐까?,여자 친구분을 신뢰하고 계시는군요.,기쁨
이번 추석 휴가비가 많이 나왔어.,휴가비가 많이 나와서 즐거우시겠어요.,기쁨
내 친구랑 내 여자친구랑 바람이 났어.,친구와 여자친구가 바람이 난 사실을 알게 됐을 때 어떤 기분이셨나요?,분노
응. 그런데 진심으로 학원에 진짜 가기 싫다고 하니까 이해해주셨어.,솔직하게 말씀드리니 이해해주셨군요. 정말 다행이에요.,기쁨
대학 취업센터를 방문해서 적성에 맞는 직무를 찾아봐야겠어.,적극적인 노력으로 취업에 성공하시길 바랄게요.,슬픔
도대체 나는 왜 항상 이런 친구들만 사귀는지 구역질이 날 정도야.,친구들과의 관계가 많이 안 좋으세요?,분노
그런 것 같아. 그래도 매일 술을 먹는데 건강이 좋을 리는 없지.,남편분이 건강에 대해 자부하는 것이 자만으로 이어질까 봐 걱정스러우시군요.,기쁨
오늘 아침부터 국장님이 급하게 요청한 일 처리하느라 애먹었어.,촉박하게 일 처리하시느라 고생 많으셨네요.,기쁨
시험기간이라고 엄마 잔소리가 너무심해. 내가 알아서 할텐데 개입하지않았으면 바라.,시험기간이라고 엄마 잔소리가 너무심해. 내가 알아서 할텐데 개입하지않았으면 바라.,분노
계속 이대로 유지해야겠어.,계속 이대로 유지할 생각이시군요.,기쁨
아들이 있는 병원으로 찾아가서 아들이 상처를 낫게 돕고 진정이 된 후 어떻게 된 일인지 알아봐야겠어.,차근차근 일을 해결해 나가실 생각이시군요.,슬픔
아무래도 신입사원에게 메모에 적어 놓으라고 말을 해놔야겠어.,OO님은 상사의 곤란한 부탁을 거절하고 싶으시군요.,슬픔
응. 선생님께서 지켜봐 주신다고 하셔서 만족스러워.,더 이상 불화가 없을 것 같아서 기쁘실 것 같아요.,기쁨
오래 전에 나한테 돈을 빌리고 연락이 끊어졌던 친구에게서 연락이 왔어.,그런 일이 있으셨군요. 친구 분이 뭐라고 하시던가요?,기쁨
상사가 지갑이 떨어진 걸 눈치 채지 못한 걸 알았는데 악의적으로 모른 척했어.,상사의 지갑이 떨어졌는데 고의로 모르는 척하셨군요.,분노
나랑 내 여자친구 사이에서 서로에 대한 악의적인 말을 하잖아.,친구의 말에 화가 나셨겠어요.,분노
아르바이트하는데 다른 지점보다 매출이 적어서 점장님께 혼이 났어.,점장님께 혼이 나셔서 많이 기분이 안 좋으시겠네요.,슬픔
노후 준비만 하는 남편 때문에 남편과 갈등이 있어.,남편분이 하는 노후 준비가 어떤 부분이 마음에 안 드시나요?,분노
동기가 너무 일을 안 해서 내가 그 일까지 하고 있어. 너무 짜증 나.,동기 때문에 업무가 과중해지셨군요. 너무 바쁘시겠어요.,분노
나중에 자식들에게 손을 안벌려도 될거 같아 다행이야.,자식에게 손을 안 벌려도 될거 같아 다행이시군요.,기쁨
내가 힘들고 지치는 일이 있으면 여자친구가 기운을 북돋워 주더라고.,여자친구가 의지가 되는군요.,기쁨
이제 출근하는 게 너무 지겨워.,많이 힘드신가 봐요. 무슨 일이 있으세요?,분노
노후 준비를 위해 집을 팔고 작은 집을 이사하려 하는데 집이 팔리지 않아서 속상해.,집이 팔리지 않아서 고민이 되시겠어요.,분노
다행이 내일이 적금 만기일인데 다음 주 수술비를 다 낼 수 있게 돼서 기쁘구먼.,수술비 걱정에서 벗어나서 기쁘시군요.,기쁨
아이가 생기지 않아 핑계 대는 거라고 생각들 하고 있어.,주변의 관심 때문에 스트레스받으시겠어요.,분노
내 건강이 좋지 않아서 우울해.,건강이 좋지 않아서 우울하시겠어요.,기쁨
더 열심히 일해서 부끄럽지 않은 가족의 한 구성원이 되겠어.,가족을 위해 더 노력하려고 하시는군요.,슬픔
친구가 얼마나 소중한지 이번에 절실히 깨달았지.,학창시절에 제일 필요한게 좋은 친구이겠죠. 친구들의 오해도 풀어주셨으니 앞으로 즐거운 학교생활 잘 하시길 바라요.,기쁨
처음에는 상담받는 거 너무 힘들었는데 털어놓으니까 해소가 되는 것 같아.,앞으로 꾸준히 좋아지길 응원해요.,기쁨
심란했을 거야. 아마 그 친구도 대화하기 쉽지 않았을 테니 좋은 마음으로 사과를 받아들이려고 해.,앞으로 두 분의 우정이 계속되기를 바랄게요.,기쁨
아직 실제로 일어난 일은 아니니까 우선 마음을 좀 가라앉혀야겠어.,마음을 어떤 방법으로 진정시킬 수 있을까요?,슬픔
난 결혼을 안했어야 했어. 비통해.,결혼생활에서 큰 어려움이 있으셨나요?,슬픔
결혼하는 데 드는 비용을 보니 너무 천문학적이야. 난 그런 능력이 전혀 없어.,결혼에 비용이 너무 많이 든다는 생각에 좌절하신 것 같네요.,분노
이번 과제물 에이 학점 받았는데 좋은 점수 받기 어렵기로 소문난 교수님이라 더 뿌듯하고 신나.,제출한 과제물로 좋은 학점을 받으셔서 참 기쁘시군요.,기쁨
우선 정리할 것 정리하고 대책을 세워 봐야지.,힘드시겠지만 잘 수습하리라고 믿어요.,분노
엄마가 평소에 친구들이랑 맛있는 거 먹으라고 용돈도 주셨는데 내가 너무 바보가 된 것 같아.,어머니께서 평소에 교우관계에도 신경을 써주시니 더 마음 상했겠네요. 어떻게 하는 게 좋을까요?,분노
아무것도 할 수 없어. 슬슬 퇴직 연금이나 받을 준비를 해야지.,퇴직연금을 받아서 어떻게 사용하면 좋을까요?,슬픔
가끔이 아니라 거기에 빠져 출퇴근을 했으니 육체적 정신적 건강이 온전할 리가 있겠어? 다 내 탓으로 부부 사이가 안 좋아지니 후회가 되네.,카바레가 부부생활에까지 영향을 미쳤나 보군요.,분노
오랜만에 주말에 혼자 영화를 보러 갔는데 남편이 계속 전화를 해서 너무 짜증나!,혼자 영화를 보는데 남편이 계속 전화를 해서 짜증이 나셨군요.,분노
애인이 솔로인 척 소개팅에 나갔어. 어떻게 그럴 수 있지?,애인이 솔로인 척 소개팅에 나가서 화가 많이 나셨겠네요.,분노
이번에 건강검진 결과에서 우리 부서 사람들 중 내 건강상태가 가장 양호하다고 나왔어!,축하드려요. 평소 잘 관리하셨나 봐요.,기쁨
아무것도 없어. 늘 나를 기다리는 건 괴로움뿐이야.,주변에 지지할 사람이 있기를 바라요.,분노
매일 따뜻한 차를 마셨더니 속이 편해진 느낌이어서 기뻐.,속이 편해진 느낌이어서 기쁘시군요.,기쁨
내가 무슨 점수를 받던 어디를 가든 아무도 신경을 안 쓰는 것 같아.,부모님에게 어떻게 말해야 무관심을 돌릴 수 있을까요?,분노
지인이 소개해준 의사 덕분에 치료에 큰 도움이 되었어.,지인 소개로 치료에 도움이 되었다니 기쁘시겠어요.,기쁨
잘 모르겠어. 이제 자식들 눈치가 보여.,그렇군요. 하루빨리 자식들과의 사이도 기분도 괜찮아 지시길 바랄게요.,분노
대화에도 나를 끼워 주지 않아서 수학여행을 망칠 것 같아.,사용자님의 수학여행을 망치지 않을 대안은 없을까요?,슬픔
어제 잔다고 하고 친구들하고 술을 마셨어.,여자친구와 대화를 해보시는 건 어떨까요?,분노
의사들과 전문 직업을 가지고 있는 분들이 이야기해서인지 더욱 신뢰가 가는 것 같아.,건강에 대한 지식이 쌓여가면서 자신의 건강을 챙기실 수 있어 좋으시겠어요.,기쁨
기분 전환을 위해서 새로운 취미 생활을 찾아봐야겠어.,새로운 취미 생활 시작으로 활력을 찾았으면 좋겠어요.,슬픔
요새 코로나로 일자리가 많이 부족한 것 같아.,요즘 코로나로 인해 일자리가 많이 부족하다고 느끼시는군요.,기쁨
난소가 건강하지 못해서 임신이 힘들 수도 있대. 이런 내가 너무 싫어.,임신이 힘들 수도 있다고 해서 걱정이 되는군요.,슬픔
응. 그렇다나 봐. 우리 회사 이미지도 좋아지고.,진짜 큰일을 해내셨네요. 정말 대단하신 거 같아요.,기쁨
자식들을 불러서 상황을 말하고 도움을 청해야겠어.,자녀들의 도움을 받아 다음에는 속상한 마음이 들지 않으셨음 좋겠어요.,슬픔
엄마랑 대화하고 마음이 정말 편해졌어. 엄마에게 정말 고마워.,어머니와 관계가 정말 돈독하시군요.,기쁨
변기가 막히면 제발 본인이 뚫으라고 말하고 싶어.,언니가 사용자님의 말을 받아들이면 좋겠네요.,분노
엄마한테 왜 나만 혼내는지 물어볼까?,어머님과 대화할까 고민 중이시군요. 어떻게 하는 것이 좋은 방법일까요?,분노
지난 세월 돌이켜보면 힘들게 버티면서 지내왔던 것 같네.,힘든 세월을 살아오셨군요. 지금은 어떠신가요?,분노
내가 우울해지니까 남편도 우울해져서 서로 안 좋은 생각을 하는 거 같아.,서로 행복해지기 위해선 어떤 방법이 있을까요?,슬픔
돈이 없어서 친구와 만나지 못하고 있어.,돈 문제로 친구들과 만나지 못해 속상하시군요.,분노
우리 큰애랑 같이 사진 찍어두고 싶어.,앞으로 아이와 함께 즐거운 시간 보내시면 좋겠네요.,기쁨
내 아들한테 실망스럽고 다 내 잘못 같아.,힘내세요. 아드님도 반성하고 있을 거예요.,분노
여자친구가 어떤 남자랑 있는 걸 친구가 봤대. 그런데 내가 알기엔 그 시간에 집에 있었는데.,그런 소식을 들으셔서 기분이 싱숭생숭하셨겠어요. 여자친구가 평소에 거짓말하거나 속이는 행동을 한 적이 있었나요?,기쁨
할머니랑 친한 사인데 요양원에 보낸대. 가족인데 어떻게 그럴 수 있는지 이해할 수 없어.,할머니가 요양원에 가실 생각에 화가 많이 나셨군요?,분노
맞아. 내 경력이 부족한 탓에 절망감밖에 안 들어.,지금 이 상황에서 조금이라도 벗어나기 위해 해볼 수 있는 일들에는 무엇이 있을까요?,분노
결혼 생활이 너무 행복해.,행복하시다니 저도 기분이 좋아요.,기쁨
나도 동기가 어려울 때마다 도와줄거야.,동기에게 감사함을 잘 표현하시길 바랄게요.,기쁨
내 사촌이 나를 학교폭력에서 꺼내줬어. 사촌만은 신뢰할 수 있을 것 같아.,무슨 사건이 있었는지 자세히 이야기해주실래요?,기쁨
따돌림을 주도하는 애들이랑 말도 하고 싶지 않아.,안 좋은 사건이 있으셨나요?,분노
그러게 말이야 당뇨 때문에 잡곡을 먹어야 몸에 더 좋을 텐데 말이지.,당뇨가 있으신가 보군요. 걱정이 많이 되겠어요.,분노
응. 앞으로 친구들에게 시비 걸지 않고 친구들과 잘 지내보려고 노력해볼래.,항상 즐거운 학교생활이 되시면 좋겠어요.,기쁨
내가 소개를 해서 취직을 하게 된 친구가 고맙다면서 내게 저녁을 사줘서 기뻐.,취업한 친구가 덕분이라며 저녁식사를 대접해서 기쁘셨겠어요.,기쁨
난 친구가 없어 학교에서 가장 친하다고 생각했던 친구까지 요새는 나를 멀리하는 거 같아.,정말 슬퍼 보여요. 그 친구와 얘기해 보았나요?,슬픔
난 정말 주변에서 인기가 없나 봐.,주위 사람들이 나를 좋아해 주지 않는 것 같아 속상하시군요.,슬픔
내가 생각했던 의견대로 진행하는 거라서 야근을 하더라도 신나게 할 수 있을 거 같아.,야근까지 신나게 하실 수 있다고 하시니 정말 기분 좋으시군요. 축하드립니다.,기쁨
응 신경이 많이 쓰여. 말투를 고쳐달라고 말해볼까?,직접 말투에 대하여 말씀하실지 고민 중이시군요. 어떻게 하는 편이 나을까요?,분노
가족들을 돌보느라 정작 나를 돌보지 못한 것 같아 내가 너무 안쓰럽고 마음이 아파.,슬픈 기분을 느낄 때 벗어나기 위해 해 볼 수 있는 시도가 무엇이 있을까요?,슬픔
온 가족이 힘을 모아 아껴 쓰고 노력한 덕분이야. 부모님께 고생하셨다고 해야지.,부모님께 어떤 말씀을 드릴 수 있을까요?,기쁨
나는 직장에서 뛰어나다고 자신할 수 있어.,직장에서 뛰어다닌다고 자신할수있군요. 그렇게 생각하시는 이유가 있으신가요?,기쁨
노후 준비를 하면서 내가 늙어가는 것을 생각하니 너무 우울해.,나이 들어감에 슬픔을 느끼고 계시는군요. 더 성숙해지고 있다고 생각해보면 어떨까요?,슬픔
코골이가 심해서 치료를 받았더니 아내가 드디어 편안하게 잠을 잘 자게 되어서 너무 기뻐!,코골이 치료 후 아내분이 잠을 잘 주무셔서 정말 기쁘시겠어요.,기쁨
이번 승진심사에서 또 떨어진 나 자신이 너무 실망스러워.,승진심사에서 떨어져서 많이 실망하셨군요.,슬픔
빨리 결혼해서 남자친구하고 함께 있고 싶어.,계속 함께하시고 싶으셔서 결혼이 빨리하시고 싶으신 거군요.,분노
사람들한테는 내가 노인으로 보이나 봐.,조금 더 자세하게 말씀해주시겠어요?,슬픔
몰래 숨죽여 울기만 했어. 내가 할 수 있는 건 아무것도 없을 것 같아.,주위에서 지금의 감정을 나눌 수 있는 사람이 있었으면 좋겠어요.,분노
교통사고 후유증 때문에 오래 물리치료를 받았는데 드디어 목발 없이 걸을 수 있게 되어 너무 기뻐!,보조장치 없이 스스로 걷게 되셔서 기쁘시군요!,기쁨
퇴직하고 쉬면 무조건 좋을 줄 알았는데 휴식이 길어지니 무기력해져서 더 힘든 것 같아.,퇴직하고 쉬면 무조건 좋을 줄 알았는데 휴식이 길어지니 무기력해져서 더 힘들군요. 어떻게 하면 지금의 상황을 변화시킬 수 있을까요?,슬픔
다음엔 그런 사람들이 있으면 꼭 한마디를 해줘야 마음이 풀리겠어.,다음에는 잘못된 행동을 바로 지적하여서 마음이 후련해지시길 바랄게요.,슬픔
이러다 대머리가 되지 않을까 걱정이야.,병원에서 진료는 받아보셨나요?,슬픔
하마터면 너무 귀찮게 해서 싸울 뻔했는데 여자 친구가 말려서 자리를 피했지.,지금의 화가 난 감정을 어떻게 하면 변화시킬 수 있을까요?,분노
장애 때문에 주변에 친구도 없고 나를 지지해주는 사람도 없어서 너무 힘들어.,사용자님을 지지해 줄 사람과 친구가 없어서 힘드시군요.,분노
나 자신을 잘 챙겨야지. 건강을 우선 회복해야 될 거 같아.,상담사에게 도움을 받으려고 하시는군요.,슬픔
둘째가 자기를 괴롭히는 남학생 때문에 학교생활이 힘들다고 해서 속상해.,둘째가 괴롭힘으로 힘들어하는 걸 봐서 정말 속상하시겠어요.,슬픔
동기에게 꼬투리 잡힐 일은 만들지 말아야겠어.,꼬투리를 잡히지 않으려면 구체적으로 어떻게 행동하면 좋을까요?,슬픔
더 큰 욕심도 없고. 연금 받고 사는 것도 편안하네.,욕심 없이 연금 받고 사셔서 편안하시군요.,기쁨
응. 그래서 명일이라도 동무한테가서 진심으로 사과를 하고 선생님께 말씀드릴 생각이야.,친우도 확실히 당신의 마음을 이해하고 사과를 받아 줬으면 좋겠네요.,슬픔
상상도 못 해봤는데 이왕 이렇게 된 거 정말 신나게 여행하다가 돌아가야지.,상상도 못 한 일이라 더 신이 나겠어요.,기쁨
딸이 몸이 불편한데 얼마 전에 나보고 소리를 지르면서 울더라.,조금 더 자세히 알고 싶어요.,슬픔
나한테 사과하라고 연락할래. 난 아직도 괴롭힘 당했던 기억이 어제처럼 생생하다고.,친구에게 사과를 받고 기분이 풀렸으면 좋겠네요.,분노
은퇴 후를 준비하려고 계획했던 게 잘 풀리고 있어.,정말 뿌듯하시겠어요.,기쁨
예전에는 체력이 좋았었는데 지금은 나이가 들어서 조금만 일해도 몸이 힘들어.,나이가 들어감에 따라 예전보다 체력이 안 좋아지셔서 힘드시군요.,슬픔
응. 그래서 내게 도움을 주시는 분들에게 보답을 하고 싶어.,어떤 방법이 좋을까요?,기쁨
나도 우리가족들을 많이 아끼고 사랑할려고 해.,행복한 가정을 위해 좋은 생각 이세요.,기쁨
결혼 후 이 남자한테 너무 실망했어.,연애할 때의 모습과 다르던가요?,슬픔
상사가 지적하고 화를 내도 그냥 덤덤하게 넘기고 싶은데 그게 잘 안돼.,지금 상황에서 어떻게 하는 것이 도움이 될까요?,분노
그동안 대출을 너무 많이 받아서 그런지 신용등급이 너무 낮더라고. 정말 속상해.,정말 속상하시겠어요. 이런 상황을 어떻게 해결하면 좋을까요?,슬픔
더 악화됐대. 나름 열심히 관리했는데.,열심히 관리했는데 건강 검진 결과가 좋지 않아 많이 낙담하셨군요.,슬픔
의사선생님이 요실금으로 기저귀를 차고 다녀야 한다고 하셔서 슬펐어.,많이 속상하시겠어요. 더 자세하게 말씀해보시겠어요?,슬픔
이대로 있다간 더 심해질 것 같아. 정신과 방문해서 상담을 받아봐야겠어.,상담을 통해 이겨내시기를 바라요.,분노
내가 간호사로 일하고 있을 걸 떠올리면 흥분되고 마음이 벅차.,꿈에 대한 상상으로 기분이 좋으시군요!,기쁨
나 오늘 그토록 바라던 학생회장으로 당선되었어.,학생회장에 당선된 기분이 어떤가요?,기쁨
정말 열심히 했던 친구였거든 나도 열심히 해서 내가 원하는 것을 꼭 이룰 거야.,어떻게 하면 친구처럼 원하던 꿈을 이룰 수 있을까요?,기쁨
우리 가족은 가난해서 어디를 가도 나는 움츠리게 돼.,가난해서 움츠리게 되니까 속상하시겠어요.,슬픔
우선 내가 먼저 대화를 하자고 얘기했더니 친구도 대화에 응해줬어. 서로 오해가 있었더라고.,오해가 잘 풀려서 다행이네요 앞으로 친구들과 쭉 잘 지내셨으면 좋겠어요.,기쁨
내가 계속 면접에서 떨어져서 더 그러는 것 같아.,최종 면접 때 분위기는 좋으셨나요?,분노
같이 병원에 가서 의사와 이야기한다면 조금은 내 병을 이해해 줄 것 같아.,의사와 이야기해서 병을 이해해 주길 바라시는군요.,슬픔
우선은 전라도부터 돌아다닐 거야.,행복한 여행이 됐으면 좋겠어요!,분노
수시지원했던 게 발표가 났는데 불합격이야. 내심 기대를 했었는데 안 되었네.,수시에서 탈락을 해서 아쉬우시겠어요. 대입 다른 준비를 하고 계시나요?,슬픔
약도 시간 맞춰 먹고 계속 머리 쓰는 공부를 할 거야.,그걸로 상태가 더 나빠지지 않았으면 좋겠어요.,분노
술도 안 먹고 운동 많이 한다고 건강한 건 아닌가 봐.,그렇게 생각하시는 이유가 있으신가요?,기쁨
정말 가고 싶은 곳이었는데 나 이제 어떡하지? 엄청 우울하고 힘들어.,원하던 대학에 불합격했다니 정말 슬프시겠어요.,슬픔
쉬는 시간마다 괴롭힘 당하지 않도록 선생님이 오셔서 감시해주셔서 너무 안심돼.,선생님이 도움을 주셔서 안심되셨군요. 선생님께 큰 감사함을 느낄 것 같아요.,기쁨
부모님께 사과를 드려야겠어.,부모님께 사과를 드려서 상황이 나아지시길 바랄게요.,분노
맞아. 되게 서운하더라고.,어떻게 하면 아들과 이야기를 나눌 수 있을까요?,슬픔
이거보다 더 심한 짓을 하는 건 아닌 것 같은데 이 화를 어떻게 풀지 모르겠어.,화를 어떻게 풀어야 할지 답답하시겠어요. 예전에 이런 일이 있을 때 어떻게 하셨나요?,분노
막내아들이 관절 수술 명의를 알아보겠다고 해서 기다리고 있는데 별 소식이 없어. 아들에게 조금 실망했어.,막내아들분이 관절 수술 명의를 찾고 계시는군요. 늦어져서 조금 실망하셨겠어요.,슬픔
나는 등산에는 전혀 취미가 없어. 주말엔 그냥 쉬고 싶어.,이 문제를 해결하려면 어떻게 해야 할까요?,분노
나는 왜 맨날 이럴까?,무엇 때문에 고민이신 걸까요?,슬픔
모르겠어. 내가 할 수 있는 건 아무것도 없는 것 같아.,할 수 있는 것이 아무 것도 없다고 생각하시는군요. 자신감을 가지시면 좋겠어요.,슬픔
내일 좋아하는 사람이랑 밥을 먹는데 너무 기쁘고 설레.,좋아하는 사람이랑 밥 약속이 생겨서 기쁘고 설레시는군요.,기쁨
아빠가 바람폈어! 왜 바람핀거야!,아빠가 바람피셔서 화가 나셨나 보군요.,분노
그렇지는 않지만 일도 못 하고 아무것도 못 하면 나 자신이 쓸데가 없는 거 같아.,그런 생각을 하시는군요.,슬픔
이번에 건물을 샀어.,건물을 사서 중년에 부자가 되었다고 자신하시는군요.,기쁨
내 건강에 이상이 생겼어. 왜 나한테 이런 일이 생긴 거지?,건강에 이상이 생기셔서 놀라셨겠어요.,분노
남편이 사망한 후로 삶의 낙이 없어진 것 같아.,남편이 곁에 없어서 상실감이 매우 크시겠어요.,슬픔
시부모님은 도대체 왜 그러실까?,어떤 일이신가요? 더 자세히 이야기해주세요.,분노
아내와 나는 어떤 일에도 거짓말하지 않고 서로에게 사실만을 말하는 관계라서 너무 기뻐.,서로에게 거짓말을 하지 않는 관계라면 정말 기쁠 거예요.,기쁨
컴퓨터를 다루는 능력에서 차이가 나니까 업무에도 보이는 것 같아. 나이가 들어 슬프네.,정말 속상하시겠어요. 그런 기분에서 벗어나려면 어떻게 해야 할까요?,슬픔
친구가 별로 없어서 참고는 있는데 내가 노인정에 가면 내 옆에 착 달라붙어 있으려고 해.,너무 불편하시겠어요. 어떻게 하면 상황이 더 좋아질 수 있을까요?,분노
이럴 땐 친구를 정말 잘 사귀었다는 생각이 들어.,좋은 친구를 사귀셨네요! 친구와 기쁜 마음을 누리는 방법에는 무엇이 있을까요?,기쁨
기분이 풀리도록 다른 친구들과 욕을 하고 와야겠어.,친구와의 대화로 기분이 좋아졌으면 좋겠어요.,분노
점점 업무 속도도 느려지고 나중엔 아무것도 못 할 거야.,기분 전환을 위해 어떤 방법을 사용하실 건가요?,분노
내가 왜 위자료를 줘야 하는지 모르겠어. 너무 화가 나.,화가 많이 나셨군요. 위자료라면 어떤 일이 있으신 건가요?,분노
응. 어느 때보다 분위기가 제일 좋았어.,즐거운 시간을 보내셨다니 다행이네요.,기쁨
나 정말 흥분돼. 행복한 감정이 주체가 안 되네.,데이트에 대한 기대감에 흥분된 모습이군요.,기쁨
초코바를 먹으면 기분이 좋아지긴 해. 이번에도 초코바랑 단 음식들을 많이 먹었어.,달콤한 음식을 좋아하시는군요! 조금이나마 기분이 좋아지셨다니 다행이에요.,분노
아이 없이 이렇게 평생 생활해도 행복할 것 같아.,아내분이 기뻐하셨으면 좋겠어요.,기쁨
수술 때문에 몇 달간 입원해야 하지만 건강을 회복해서 회사로 복귀할거라고 자신해.,입원 후 건강을 회복해서 회사로 복귀할 것이라고 자신하시는군요.,기쁨
자꾸 세상 떠난 친구 생각이 나서 우울해.,떠난 친구 생각이 계속 나서 우울하시군요.,슬픔
아파트 부녀회장과 부녀회의 참석 문제로 의견 충돌이 생겼어. 정말 스트레스받아.,서로 의견이 맞지 않아 마음이 불편하시겠어요. 부녀회의 참석에 대해 어떻게 하고 싶으신 거예요?,분노
체육대회나 다른 친선경기에 활발하게 참석할 계획이야.,활발한 행사 참여로 친구들과의 관계가 회복되길 바랄게요.,기쁨
친구 남편이 빨리 나아야 할 텐데 나도 정말 걱정이 돼.,친구분의 안타까운 상황에 걱정하고 계시는군요.,슬픔
친구들에게 돈을 빌렸었지.,친구들과 상의해서 상황이 잘 풀렸으면 좋겠어요.,분노
내가 꾸준히 자식들 위해서 저축과 노후 연금을 납부해서 천만다행이야.,자식들을 위해서 꾸준히 저축과 노후 연금을 납부하셨군요. 안심되시겠어요.,기쁨
우유부단한 남편 성격이 짜증 나. 부모님이 땅 좀 주신다니까 망설이더니 시동생들이 다 채갔어.,남편 성격이 우유부단해서 속이 상하시겠어요.,슬픔
이렇게 신경을 안 써줄 줄은 몰랐어. 그래도 열심히 키워놨는데.,열심히 키운 자식들이 도움을 주지 않는군요. 이런 상황을 누구와 상의해야 좋을까요?,분노
이번 시험을 잘 봤더니 부모님이 칭찬해 주셨어.,부모님께 칭찬을 들어 기분이 어떠셨나요?,기쁨
동생이 암으로 죽어서 너무 괴로워.,많이 힘드시겠네요.,분노
나는 항상 집안일에 시달리고 있는데 남편은 내가 집에서 노는 줄만 알아서 슬퍼.,남편이 집안일을 하느라 힘든 걸 몰라주셔서 슬프시군요.,슬픔
매일 애정 어린 관심을 주고 전문가의 도움을 받는 게 필요할 것 같아. 이대로는 안 돼.,하루빨리 남편이 도박에서 벗어날 수 있길 바라요.,분노
다 그 친구가 주식 정보를 물어다 준 덕분이지. 이 고마움을 뭐로 표현하지?,주식 정보를 알려준 친구에게 고마움을 느끼시고 있군요. 이 고마움을 무엇으로 표현할 수 있을까요?,기쁨
내 친구가 불행해졌으면 좋겠어.,내 친구가 불행해졌으면 좋겠군요. 좀 더 자세히 말씀해주시겠어요?,분노
아직 하고 싶은 게 많은데 아무것도 못 하게 생기다니 내 몸 진짜 답 없다.,건강에 문제가 있는 지금 어떻게 상황을 바꿔나가면 좋을까요?,슬픔
응 곧 사귈 것 같아. 어제도 만났고 내일도 만나기로 했어. 하루종일 연락도 자주 하고 있어.,관계에 진전이 있을 거라는 기대감이 높군요.,기쁨
많은 사람과 일로 만날 때 그렇게 느껴. 예전엔 내 명함을 받으려고 줄을 서던데 지금은 왜 이렇게 됐을까?,예전과는 다르다고 느끼시는군요.,분노
자식들을 위해 아낌없이 다 줬는데 이제는 버려진 것 같아 너무 비참해.,자식들에게 버려진 것 같아 비참하시군요. 어떻게 하면 기분이 조금이라도 나아질 수 있을까요?,슬픔
아빠 혼자서 날 챙기기 힘들 텐데 나 혼자의 힘으로 뭔가를 해보고 싶어.,스스로 뭔가 실천하고 싶으시군요. 이럴 때 어떻게 하는 게 좋을까요?,슬픔
근래 바깥에 나가는 것이 점점 싫어졌어.,특별히 바깥 활동이 싫어지신 이유가 있으셨나요?,슬픔
그래서 본인은 편안한 심정으로 미래에 대해서 진지하게 생각해 볼 수 있는 것 같아.,심정의 여유가 있으니 확실히 좋은 진로를 찾으실 거예요.,기쁨
나를 때린 가해자들이 징계를 받았어. 학교폭력위원회 위원장 분들 덕이야.,가해자들이 징계를 받을 수 있어서 다행이에요. 학교폭력위원회 위원장 분들께 감사한 마음이 드시는군요.,기쁨
공부는 물론이고 관련 자료도 많이 모았어.,좋은 결실 있으실 거예요,분노
